,Age Group,Household Income,Education Level,Financial Literacy Score,Location
0,55+,"Low (<$30,000)",Some College,12.0,Rural
1,Under 18,"Middle ($30,000-$70,000)",Some College,92.0,Urban
2,45-54,"High (>$70,000)",Bachelorâ€™s Degree,6.0,Urban
3,18-24,"Middle ($30,000-$70,000)",Some College,9.0,Rural
4,45-54,"High (>$70,000)",Bachelorâ€™s Degree,27.0,Urban
5,25-34,"Low (<$30,000)",Bachelorâ€™s Degree,47.0,Urban
6,Under 18,"High (>$70,000)",Some College,27.0,Urban
7,Under 18,"Middle ($30,000-$70,000)",High School or Less,51.08247422680412,Urban
8,35-44,"Low (<$30,000)",Graduate Degree,71.0,Suburban
9,55+,"Middle ($30,000-$70,000)",Graduate Degree,55.0,Urban
10,55+,"Low (<$30,000)",Bachelorâ€™s Degree,56.0,Suburban
11,35-44,"Low (<$30,000)",Bachelorâ€™s Degree,65.0,Suburban
12,55+,"Low (<$30,000)",High School or Less,13.0,Rural
13,Under 18,"High (>$70,000)",Some College,98.0,Urban
14,Under 18,"Middle ($30,000-$70,000)",High School or Less,96.0,Urban
15,25-34,"Middle ($30,000-$70,000)",Some College,51.0,Urban
16,45-54,"High (>$70,000)",Graduate Degree,51.08247422680412,Suburban
17,25-34,"Low (<$30,000)",Graduate Degree,66.0,Suburban
18,55+,"Middle ($30,000-$70,000)",High School or Less,77.0,Urban
19,25-34,"Middle ($30,000-$70,000)",Missing,90.0,Suburban
20,Under 18,"Middle ($30,000-$70,000)",Bachelorâ€™s Degree,51.08247422680412,Suburban
21,25-34,"High (>$70,000)",High School or Less,5.0,Urban
22,45-54,"Middle ($30,000-$70,000)",Graduate Degree,28.0,Suburban
23,Under 18,"High (>$70,000)",Graduate Degree,2.0,Urban
24,35-44,"Low (<$30,000)",Bachelorâ€™s Degree,52.0,Suburban
25,35-44,"Middle ($30,000-$70,000)",Graduate Degree,74.0,Rural
26,35-44,"Low (<$30,000)",Some College,52.0,Rural
27,35-44,"High (>$70,000)",Missing,97.0,Rural
28,35-44,"High (>$70,000)",Some College,73.0,Suburban
29,25-34,"Middle ($30,000-$70,000)",Graduate Degree,72.0,Suburban
30,25-34,"Middle ($30,000-$70,000)",Some College,12.0,Suburban
31,45-54,"Low (<$30,000)",Graduate Degree,10.0,Urban
32,18-24,"Middle ($30,000-$70,000)",Bachelorâ€™s Degree,53.0,Rural
33,18-24,"High (>$70,000)",Graduate Degree,79.0,Suburban
34,35-44,"High (>$70,000)",Graduate Degree,33.0,Missing
35,25-34,"High (>$70,000)",Bachelorâ€™s Degree,74.0,Rural
36,18-24,"Low (<$30,000)",Some College,78.0,Rural
37,Under 18,"Middle ($30,000-$70,000)",Graduate Degree,52.0,Rural
38,25-34,"High (>$70,000)",High School or Less,6.0,Suburban
39,55+,"Middle ($30,000-$70,000)",Some College,80.0,Suburban
40,45-54,"Low (<$30,000)",Graduate Degree,95.0,Suburban
41,45-54,Missing,Graduate Degree,60.0,Rural
42,18-24,"Middle ($30,000-$70,000)",High School or Less,28.0,Suburban
43,18-24,"Low (<$30,000)",High School or Less,88.0,Urban
44,55+,"High (>$70,000)",Bachelorâ€™s Degree,6.0,Urban
45,18-24,"Middle ($30,000-$70,000)",High School or Less,74.0,Suburban
46,55+,"High (>$70,000)",Graduate Degree,71.0,Suburban
47,35-44,"Low (<$30,000)",Bachelorâ€™s Degree,22.0,Urban
48,Under 18,"High (>$70,000)",Some College,1.0,Rural
49,55+,"High (>$70,000)",Graduate Degree,30.0,Urban
50,Under 18,"High (>$70,000)",Some College,76.0,Urban
51,25-34,"Middle ($30,000-$70,000)",Graduate Degree,91.0,Rural
52,35-44,"High (>$70,000)",Bachelorâ€™s Degree,2.0,Urban
53,35-44,"Low (<$30,000)",High School or Less,93.0,Suburban
54,18-24,"Low (<$30,000)",Bachelorâ€™s Degree,61.0,Urban
55,18-24,"Middle ($30,000-$70,000)",High School or Less,27.0,Suburban
56,55+,"High (>$70,000)",Some College,68.0,Rural
57,55+,"Low (<$30,000)",High School or Less,56.0,Suburban
58,45-54,"High (>$70,000)",Some College,53.0,Suburban
59,25-34,"High (>$70,000)",Some College,94.0,Rural
60,35-44,"High (>$70,000)",Some College,13.0,Urban
61,Under 18,"Low (<$30,000)",Bachelorâ€™s Degree,0.0,Rural
62,55+,"Low (<$30,000)",Some College,88.0,Suburban
63,25-34,"Low (<$30,000)",Graduate Degree,44.0,Suburban
64,18-24,"Low (<$30,000)",Graduate Degree,2.0,Suburban
65,Under 18,"Middle ($30,000-$70,000)",High School or Less,92.0,Suburban
66,18-24,"High (>$70,000)",Some College,26.0,Suburban
67,18-24,"Middle ($30,000-$70,000)",Bachelorâ€™s Degree,14.0,Rural
68,45-54,"High (>$70,000)",Bachelorâ€™s Degree,73.0,Urban
69,18-24,"Low (<$30,000)",Some College,24.0,Urban
70,55+,"Low (<$30,000)",Bachelorâ€™s Degree,81.0,Rural
71,25-34,"Low (<$30,000)",Graduate Degree,85.0,Suburban
72,18-24,"Middle ($30,000-$70,000)",Some College,59.0,Suburban
73,35-44,"Middle ($30,000-$70,000)",Bachelorâ€™s Degree,19.0,Rural
74,Under 18,"Low (<$30,000)",Some College,69.0,Suburban
75,25-34,"High (>$70,000)",Graduate Degree,93.0,Urban
76,55+,"Low (<$30,000)",Some College,67.0,Rural
77,18-24,"High (>$70,000)",Graduate Degree,63.0,Urban
78,45-54,"Low (<$30,000)",Graduate Degree,48.0,Suburban
79,35-44,"Middle ($30,000-$70,000)",Bachelorâ€™s Degree,31.0,Suburban
80,25-34,"Middle ($30,000-$70,000)",Missing,8.0,Rural
81,Under 18,"High (>$70,000)",Some College,55.0,Rural
82,25-34,"Middle ($30,000-$70,000)",Bachelorâ€™s Degree,84.0,Urban
83,45-54,"Middle ($30,000-$70,000)",Graduate Degree,84.0,Suburban
84,25-34,"Middle ($30,000-$70,000)",Some College,1.0,Rural
85,35-44,"High (>$70,000)",Some College,40.0,Suburban
86,35-44,"Middle ($30,000-$70,000)",Graduate Degree,66.0,Urban
87,45-54,"Middle ($30,000-$70,000)",Missing,15.0,Suburban
88,18-24,"Low (<$30,000)",Bachelorâ€™s Degree,86.0,Rural
89,25-34,"Middle ($30,000-$70,000)",High School or Less,63.0,Urban
90,35-44,"Middle ($30,000-$70,000)",Graduate Degree,93.0,Rural
91,25-34,"Middle ($30,000-$70,000)",Graduate Degree,70.0,Suburban
92,55+,"High (>$70,000)",Bachelorâ€™s Degree,93.0,Rural
93,55+,"Low (<$30,000)",Some College,6.0,Suburban
94,18-24,"High (>$70,000)",Bachelorâ€™s Degree,19.0,Suburban
95,Under 18,"Middle ($30,000-$70,000)",Graduate Degree,5.0,Rural
96,25-34,"Middle ($30,000-$70,000)",Some College,45.0,Urban
97,18-24,Missing,Some College,54.0,Rural
98,55+,"Middle ($30,000-$70,000)",Some College,69.0,Urban
99,45-54,"Middle ($30,000-$70,000)",High School or Less,22.0,Suburban
